Code,Title,Runtime,Levels,Epic,G.Ad.,Eber,RMH,URL
CCC-3MAGS-01,Vormestrand's Scroll,7,1-4,,,,,https://www.dmsguild.com/product/260364/CCC3MAGSONE-Vormestrands-Scroll?affiliate_id=171040
CCC-AETHER01-01,The Heir of Orcus: Verse I,2-4,1-4,,,,,https://www.dmsguild.com/product/258606/CCCAETHER0101-The-Heir-of-Orcus-Verse-I?affiliate_id=171040
CCC-AETHER01-02,The Heir of Orcus: Verse II,4,1-4,,,,,https://www.dmsguild.com/product/258619/CCCAETHER0102-The-Heir-of-Orcus-Verse-II?affiliate_id=171040
CCC-ALMOG-01,TALES01-01 What Lies Beneath,4,1-4,,,,,https://www.dmsguild.com/product/257958/CCCALMOG01-TALES0101-What-Lies-Beneath?affiliate_id=171040
CCC-ALMOG-03,TALES03-01 - Claws of Fury,4,11-16,,,,,https://www.dmsguild.com/product/250115/CCCALMOG03-TALES0301-Claws-of-Fury?affiliate_id=171040
CCC-AMER-01,Asleep and Awake,4,1-4,,,,,https://www.dmsguild.com/product/247005/CCCAMER01-Asleep-and-Awake?affiliate_id=171040
CCC-AN-01,Secrets of Golden Fire,4,1-4,,,,,https://www.dmsguild.com/product/263173/CCCAN01-Secrets-of-Golden-Fire?affiliate_id=171040
CCC-AN-02,The Wrathful Deity of Khurovogo,2,1-4,,,,,https://www.dmsguild.com/product/250006/CCCAN02-The-Wrathful-Deity-of-Khurovogo?affiliate_id=171040
CCC-AN-03,Winter Wonderland,4,5-10,,,,,https://www.dmsguild.com/product/256915/CCCAN03-Winter-Wonderland?affiliate_id=171040
CCC-ANIME-1-1,Legend of the Sword Bandit,2,1-4,,,,,https://www.dmsguild.com/product/236786/CCC--Anime--11-Legend-of-the-Sword-Bandit-Surprise?affiliate_id=171040
CCC-ANIME-1-2,"Let's Find the Sword, Go!",2,5-10,,,,,https://www.dmsguild.com/product/236787/CCC--Anime--12-Lets-Find-the-Sword-GO?affiliate_id=171040
CCC-ANIME-1-3,"Star Sword, Return",2,5-10,,,,,https://www.dmsguild.com/product/236788/CCC--Anime--13-Star-Sword-Return?affiliate_id=171040
CCC-APL-01-01,It's Not Easy Being Gene,4,1-4,,,,,https://www.dmsguild.com/product/262265/CCCAPL0101-Its-Not-Easy-Being-Gene?affiliate_id=171040
CCC-BLD-0103,Bleeding Gate: Lineage,2,5-10,,,,,https://www.dmsguild.com/product/231700/CCCBLD-0103-Bleeding-Gate-Lineage?affiliate_id=171040
CCC-BLD-11,Bleeding Gate: Pandemonium,2,1-4,,,,,https://www.dmsguild.com/product/218024/CCCBLD-11-Bleeding-Gate-Pandemonium?affiliate_id=171040
CCC-BLD-12,Bleeding Gate: Amalgamation,2,1-4,,,,,https://www.dmsguild.com/product/218099/CCCBLD-12-Bleeding-Gate-Amalgamation?affiliate_id=171040
CCC-BMG MOON 1-1,Moonshae Treasure Hunt,2-4,1-4,,,,,https://www.dmsguild.com/product/262080/CCCBMGMOON11-Moonshae-Treasure-Hunt?affiliate_id=171040
CCC-BMG-01-CORE1-1,A Scream in the Night,4,1-4,,,,,https://www.dmsguild.com/product/184998/CCCBMG01-CORE-11-A-Scream-in-the-Night
CCC-BMG-02-CORE1-2,A Cog in the Wheel,4,1-4,,,,,https://www.dmsguild.com/product/185274/CCCBMG02-CORE-12-A-Cog-in-the-Wheel?affiliate_id=171040
CCC-BMG-03-CORE1-3,A Hole in the World,4,1-4,,,,,https://www.dmsguild.com/product/185275/CCCBMG03-CORE-13-A-Hole-in-the-World?affiliate_id=171040
CCC-BMG-04-CORE2-1,Tales of Good & Evil,4,1-4,,,,,https://www.dmsguild.com/product/189087/CCCBMG04-CORE-21-Tales-of-Good--Evil?affiliate_id=171040
CCC-BMG-05-CORE2-2,Songs of Law & Chaos,4,1-4,,,,,https://www.dmsguild.com/product/189088/CCCBMG05-CORE-22-Songs-of-Law--Chaos?affiliate_id=171040
CCC-BMG-06,CORE2-3 Edicts of Neutrality,4,1-4,,,,,https://www.dmsguild.com/product/189089/CCCBMG06-CORE-23-Edicts-of-Neutrality?affiliate_id=171040
CCC-BMG-07,HULB1-1 Hulburg Rebuilding,4,5-10,,,,,https://www.dmsguild.com/product/189329/CCCBMG07-HULB-11-Hulburg-Rebuilding?affiliate_id=171040
CCC-BMG-08,HULB1-2 Hulburg Burning,4,5-10,,,,,https://www.dmsguild.com/product/189330/CCCBMG08-HULB-12-Hulburg-Burning?affiliate_id=171040
CCC-BMG-09,HULB1-3 Hulburg Rising,4,5-10,,,,,https://www.dmsguild.com/product/189331/CCCBMG09-HULB-13-Hulburg-Rising?affiliate_id=171040
CCC-BMG-10,HILL1-1 Arrival,4,5-10,,,,,https://www.dmsguild.com/product/184953/CCCBMG10-HILL-11-Arrival
CCC-BMG-11,HILL1-2 Exodus,4,5-10,,,,,https://www.dmsguild.com/product/357635/CCCBMGMOON111-A-Darkened-City?affiliate_id=171040
CCC-BMG-12,HILL1-3 Resurgence,4,5-10,,,,,https://www.dmsguild.com/product/185273/CCCBMG12-HILL-13-Resurgence
CCC-BMG-13-PHLAN1-1,Sepulture,4,11-16,,,,,https://www.dmsguild.com/product/189520/CCCBMG13-PHLAN-11-Sepulture
CCC-BMG-14-PHLAN1-2,Enemy of my Enemy,4,11-16,,,,,https://www.dmsguild.com/product/189522/CCCBMG14-PHLAN-12-Enemy-of-my-Enemy
CCC-BMG-15-PHLAN1-3,Subterfuge,4,11-16,,,,,https://www.dmsguild.com/product/189523/CCCBMG15-PHLAN-13-Subterfuge
CCC-BMG-16-ELM1-1,The Sage of Cormanthor,4,5-10,,,,,https://www.dmsguild.com/product/203366/CCCBMG16-ELM-11-The-Sage-of-Cormanthor
CCC-BMG-17-ELM1-2,The Lost Sanctum,4,5-10,,,,,https://www.dmsguild.com/product/204921/CCCBMG17-ELM-12-The-Lost-Sanctum
CCC-BMG-18-ELM1-3,The Battle of Elmwood,4,5-10,,,,,https://www.dmsguild.com/product/204922/CCCBMG18-ELM-13-The-Battle-of-Elmwood
CCC-BMG-19-HULB 2-1,Winters Frosty Kiss,4,5-10,,,,,https://www.dmsguild.com/product/225183/CCCBMG19-HULB21-Winters-Frosty-Kiss
CCC-BMG-20-HULB 2-2,Winters Frigid Wrath,4,5-10,,,,,https://www.dmsguild.com/product/423255/CCCBMGMOON20-Through-the-Storm
CCC-BMG-21-HULB 2-3,Winters Sharp Bite,4,5-10,,,,,https://www.dmsguild.com/product/225185/CCCBMG21-HULB-23-Winters-Sharp-Bite
CCC-BMG-22-PHLAN2-1,Demagogue,4,11-16,,,,,https://www.dmsguild.com/product/230627/CCCBMG22-PHLAN-21-Demagogue
CCC-BMG-23-PHLAN2-2,Hatemaster,4,11-16,,,,,https://www.dmsguild.com/product/230628/CCCBMG23-PHLAN-22-Hatemaster
CCC-BMG-24-PHLAN2-3,The Royal We,4,11-16,,,,,https://www.dmsguild.com/product/230629/CCCBMG24-PHLAN-23-The-Royal-We
CCC-BMG-25-CORE3-1,The Spectral Incursion,4,1-4,,,,,https://www.dmsguild.com/product/239572/CCCBMG25-CORE-31-The-Spectral-Incursion
CCC-BMG-26-CORE3-2,The Ghostly Infestation,4,1-4,,,,,https://www.dmsguild.com/product/239577/CCCBMG26-CORE-32-The-Ghostly-Infestation
CCC-BMG-27-CORE3-3,The Spirited Investigation,4,1-4,,,,,https://www.dmsguild.com/product/239578/CCCBMG27-CORE-33-The-Spirited-Investigation
CCC-BMG-28-HILL2-1,The Red Gathering,4,5-10,,,,,https://www.dmsguild.com/product/240059/CCCBMG28-Hill-21-The-Red-Gathering
CCC-BMG-29-HILL2-2,The Red Herring,4,5-10,,,,,https://www.dmsguild.com/product/240422/CCCBMG29-Hill-22-The-Red-Herring
CCC-BMG-30-HILL2-3,The Red Death,4,5-10,,,,,https://www.dmsguild.com/product/240423/CCCBMG30-Hill-23-The-Red-Death
CCC-BMG-31-PHLAN 3-1,The Conventicle of Chaos,4,1-4,,,,,https://www.dmsguild.com/product/247511/CCCBMG31-PHLAN-31-The-Conventicle-of-Chaos
CCC-BMG-32-PHLAN 3-2,The First Rule,4,1-4,,,,,https://www.dmsguild.com/product/247512/CCCBMG32-PHLAN-32-The-First-Rule
CCC-BMG-33-PHLAN 3-3,Spinning on the Edge,4,1-4,,,,,https://www.dmsguild.com/product/247513/CCCBMG33-PHLAN-33-Spinning-on-the-Edge
CCC-BMG-34-ELM2-1,Tendrils in the Fog,4,5-10,,,,,https://www.dmsguild.com/product/254008/CCCBMG34-ELM-21-Tendrils-in-the-Fog
CCC-BMG-35-ELM2-2,Mists of the Moonsea,4,5-10,,,,,https://www.dmsguild.com/product/254009/CCCBMG35-ELM-22-Mists-of-the-Moonsea
CCC-BMG-36-ELM2-3,Vestiges of Darkness,4,5-10,,,,,https://www.dmsguild.com/product/254011/CCCBMG36-ELM-23-Vestiges-of-Darkness
CCC-BMG-37-HULB 3-1,Weakness of Rock,4,11-16,,,,,https://www.dmsguild.com/product/260904/CCCBMG37-HULB-31-Weakness-of-Rock
CCC-BMG-38-HULB 3-2,Dead Canaries,4,11-16,,,,,https://www.dmsguild.com/product/260905/CCCBMG38-HULB-32-Dead-Canaries
CCC-BMG-39-HULB 3-3,Darkest Vein,4,11-16,,,,,https://www.dmsguild.com/product/260906/CCCBMG39-HULB-33-Darkest-Vein
CCC-BMG-40-HULB 4-1,Whispers from the Deep,4,11-16,,,,,https://www.dmsguild.com/product/264698/CCCBMG40-HULB-41-Whispers-from-the-Deep
CCC-BMG-41-HULB 4-2,Voices from the Deep,4,11-16,,,,,https://www.dmsguild.com/product/264699/CCCBMG41-HULB-42-Voices-from-the-Deep
CCC-BMG-42-HULB 4-3,Call of the Deep,4,11-16,,,,,https://www.dmsguild.com/product/264701/CCCBMG42-HULB-43-Call-of-the-Deep
CCC-BMG-43-PHLAN 4-1,Ghoulies and Ghosties,4,5-10,,,,,https://www.dmsguild.com/product/265111/CCCBMG43-PHLAN-41-Ghoulies-and-Ghosties
CCC-BMG-440PHLAN 4-2,Long Leggity Beasties,4,5-10,,,,,https://www.dmsguild.com/product/265112/CCCBMG44-PHLAN-42-Long-Leggity-Beasties
CCC-BMG-45-PHLAN 4-3,Things That Go Bump in the Night,4,5-10,,,,,https://www.dmsguild.com/product/265113/CCCBMG45-PHLAN-43-Things-That-Go-Bump-in-the-Night
CCC-BMG-46-HILL 3-1,Shepherd the Weak,4,5-10,,,,,https://www.dmsguild.com/product/266616/CCCBMG46-HILL-31-Shepherd-the-Weak
CCC-BMG-47-HILL 3-2,Suffer the Children,4,5-10,,,,,https://www.dmsguild.com/product/266617/CCCBMG47-HILL-32-Suffer-the-Children
CCC-BMG-48-HILL 3-3,Spare the Rod,4,5-10,,,,,https://www.dmsguild.com/product/266618/CCCBMG48-HILL-33-Spare-the-Rod?affiliate_id=171040
CCC-BMG-HILL1S,Onslaught,4,5-10,TRUE,,,
CCC-BMG-HILL2S,Hillsfar Runs Red,4,5-10,TRUE,,,
CCC-BMG-HULB1S,Extinction,4,5-10,TRUE,,,
CCC-BMG-HULB2S,Winter's Feast,4,5-10,TRUE,,,
CCC-BMG-MOON,Moonshae Isles Regional Guide,n/a,n/a,,,,
CCC-BMG-MOON2-1,Defenders of Caer Moray,2-4,1-4,,,,,https://www.dmsguild.com/product/266890/CCCBMGMOON21-Defenders-of-Caer-Moray
CCC-BMG-MOON2-2,Army of the Unseen,2-4,1-4,,,,,https://www.dmsguild.com/product/267912/CCCBMGMOON22-Army-of-the-Unseen
CCC-BMG-MOON2-3,The Eye in the Mist,2-4,1-4,,,,,https://www.dmsguild.com/product/269351/CCCBMGMOON23-The-Eye-in-the-Mist
CCC-BMG-PHLAN1S,Uprising,4,11-16,TRUE,,,,
CCC-BMG-PHLAN2S,Damnation,4,11-16,TRUE,,,
CCC-BWM-001,Howling on the Moonsea,4,5-10,,,,,https://www.dmsguild.com/product/253539/CCCBWM001-Howling-on-the-Moonsea
CCC-BWM-002,The City in the Depths,4,5-10,,,,,https://www.dmsguild.com/product/253855/CCC--BWM--002-The-City-in-the-Depths
CCC-BWM-003,A Tale of Two Towers,4,11-16,,,,,https://www.dmsguild.com/product/253558/CCC--BWM--003-A-Tale-of-Two-Towers
CCC-BWM-06,Introduction to Adventuring,1,1-4,,,,,https://www.dmsguild.com/product/278603/CCCBWM06-Introduction-to-Adventuring
CCC-CIC-01,The Vault of the Devourer,4,1-4,,,,
CCC-CIC-02,The Clockwork Laboratory,4,5-10,,,,
CCC-CIC-03,The Desolate Undercroft,4,5-10,,,,
CCC-CIC-04,Best Friends Forever,4,5-10,,,,
CCC-CIC-05,Donum Vitae,4,5-10,,,,
CCC-CIC-06,End of the Line,4,1-4,,,,
CCC-CIC-07,Pieces of You,4,5-10,,,,
CCC-CIC-08,The Last Voyage of the Woolgathering Tidsoptimist,4,1-4,,,,
CCC-CIC-09,Steamy Shores of Danger,2-4,1-4,,,,
CCC-CIC-10,Terror at Soward Manor,4,5-10,,,,
CCC-CIC-11,Death at Peril Island,4,5-10,,,,
CCC-CIC-12,Redemption at Talos Sound,4,5-10,,,,
CCC-CNE-01,The Treasure Beneath,4,5-10,,,,
CCC-CNE-02,Before The Hatch,4,5-10,,,,
CCC-CNE-03,Into The Depths,4,5-10,,,,
CCC-COTN-01-01,By The Seashore: A Red War Tale,2,1-4,,,,
CCC-DDSC-01,Murder at the Stop,4,1-4,,,,
CCC-DDSC-02,A Fool and His Gold,4,1-4,,,,
CCC-DES01-01,Finding the Rabbit Hole,4,5-10,,,,
CCC-DES01-02,A Sanity Never Questioned,4,5-10,,,,
CCC-DES01-04,An Answer Never Offered,2,5-10,,,,
CCC-DRUID-01,The Scourge Unseen,4,5-10,,,,
CCC-ELF-01,Life's A Party,4,1-4,,,,
CCC-ELF-02,An Adventuring Party Walks Into A Bar,4,1-4,,,,
CCC-ELO-01,For the Kids!,4,1-4,,,,
CCC-ELO-02,The Four Kids,2-4,1-4,,,,
CCC-FC3-01-02,Tales of Estirwald: Corruption of the Elderoak,4,5-10,,,,
CCC-FC3-01-03,Tales of Estirwald: The Fun House,4,11-16,,,,
CCC-FXC-01,Nothing Happens in Elmwood,2,1-4,,,,
CCC-GAD01-01,Broken Blade,2-4,5-10,,,,
CCC-GAD01-02,Red War: Black Phoenix,2-4,5-10,,,,
CCC-GAD01-03,Caught in Time,4-6,11-16,,,,
CCC-GARY-01,A Night to Remember,2,5-10,,,,
CCC-GARY-02,To Find a Way Out,2,5-10,,,,
CCC-GARY-03,"Oh, We're In It, Now",2,5-10,,,,
CCC-GARY-04,The Darkness of the Mountains,2,1-4,,,,
CCC-GARY-05,The Shadows of the Trees,2,1-4,,,,
CCC-GARY-06,The Death Beneath the Roots,2,1-4,,,,
CCC-GARY-07,The Mirror of Gulthias,2,5-10,,,,
CCC-GARY-08,That Wich Lies Buried,2,5-10,,,,
CCC-GARY-09,The Witch Maiden,2,5-10,,,,
CCC-GEL-01,Bedlam at the Benefit,2,1-4,,,,
CCC-GHC-01,Tharaera Lost,2,5-10,,,,
CCC-GHC-02,Skulljaw Hill,2,5-10,,,,
CCC-GHC-03,Facing the Dark,2,5-10,,,,
CCC-GHC-04,Shade of the Dark,2,5-10,,,,
CCC-GHC-05,Trail of Treachery,2,5-10,,,,
CCC-GHC-06,What You Wish For,2,5-10,,,,
CCC-GHC-07,The River Runs Red,2,11-16,,,,
CCC-GHC-08,Death in the Ruins,2,11-16,,,,
CCC-GHC-09,Swamp of Death,2,11-16,,,,
CCC-GHC-BORDER,Border Kingdoms Region Guide,n/a,n/a,,,,
CCC-GHCBK1-01,Into the Border Kingdoms,2,1-4,,,,
CCC-GHCBK1-02,The Tithes That Bind,4,5-10,,,,
CCC-GHCBK1-03,The Darkest Knight,4,5-10,,,,
CCC-GHCBK1-04,I am the Fire,4,5-10,,,,
CCC-GHCBK1-05,For the Glory of Bloutar!,4,5-10,,,,
CCC-GHCBK1-06,Legacy and Virtue,2-4,1-4,,,,
CCC-GHCBK1-07,The Peculiar Case of the Selptan Felines,2-4,1-4,,,,
CCC-GHCBK1-08,The Hunt for Cutter Jack,2,1-4,,,,
CCC-GHCBK1-09,Scavengers,2-4,1-4,,,,
CCC-GHCBK1-10,The Heart of Shadow,4,11-16,,,,
CCC-GLIP-0101,Glip-Dak,2,1-4,,,,
CCC-GLIP-0102,Beneath Glip-Dak,2,1-4,,,,
CCC-GLIP-0103,Citadel of Vlaakith,4,1-4,,,,
CCC-GLIP-0201,Blue Scales,2,5-10,,,,
CCC-GOC-0101,Tree Rot,2,1-4,,,,
CCC-GOC-0102,Cairns of Rot,2,5-10,,,,
CCC-GOC-0103,Winds of Rot,4,5-10,,,,
CCC-GSP-0101,A Dragon's Breath,4,1-4,,,,
CCC-HAL-01,Fate of the Nightworms,4,1-4,,,,
CCC-HAL-02,Six Striking Swords,4,5-10,,,,
CCC-HAL-03,Six Swords Unbound,4,5-10,,,,
CCC-HATMS01-01,"Threatening Tides (Song of Maos, Part 1)",4,5-10,,,,
CCC-HATMS01-02,"Prophecy's Promise (Isle of Maos, Part 2)",4,5-10,,,,
CCC-HATMS01-03,"Destiny Defied (Isle of Maos, Part 3)",4,5-10,,,,
CCC-HATMS02-01,Illithid Activities,4,5-10,,,,
CCC-HATMS02-02,Something Vile This Way Comes,4,11-16,,,,
CCC-HATMS02-03,A Vile Wake,4,11-16,,,,
CCC-IFK-01,Shadow of Greed,2,5-10,,,,
CCC-IFK-02,Shadow of the Weave,4,5-10,,,,
CCC-IFK-03,Shadow of the Dusk Queen,4,5-10,,,,
CCC-JGD-01,Left Black & Blue,2-4,11-16,,,,
CCC-JGD-02,Tortle Crossing,2-4,1-4,,,,
CCC-JGD-03,Tortle Tribulations,2-4,5-10,,,,
CCC-JGD-04,Gods of the Earth,2-4,5-10,,,,
CCC-KUMORI-0101,Wreckers,2,1-4,,,,
CCC-KUMORI-0102,Wretches,2,1-4,,,,
CCC-KUMORI-0204,To Be the Very Best,2,1-4,,,,
CCC-LINKS-01,Champion of the People,4,5-10,,,,
CCC-LINKS-02,The Secrets We Keep,4,11-16,,,,
CCC-MACE-01,The Blight of Geoffrey,4,1-4,,,,
CCC-MACE-02,A Panther's Peril,4,1-4,,,,
CCC-MACE-03,Haunted Memories,4,1-4,,,,
CCC-MCX-01,All in a Day's Work,2,1-4,,,,
CCC-MCX01-02,The Rescue,2,1-4,,,,
CCC-MIND-01,Lost in Thought v1.0,4,11-16,,,,
CCC-MIND-02,Mind Trip v1.00,4,11-16,,,,
CCC-MIND-03,Dream Walkers v1.0,4,11-16,,,,
CCC-MMT01-01,Imaginary Friends,2-4,1-4,,,,
CCC-MMT01-02,A Little Competition Never Hurt Anyone,2,1-4,,,,
CCC-MMT01-03,Honorable Dissent - A Price of the Red War Adventure,2,1-4,,,,
CCC-MYR-01,Friends in Need,4,5-10,,,,
CCC-NBDD01-01,Clever,2,5-10,,,,
CCC-NUKE-0101,The Blighted Sun,4,1-4,,,,
CCC-NUKE-0102,Hide and Seek,4,1-4,,,,
CCC-OCC-01,Red War: Housekeeping Red War tie-in!,4-6,11-16,,,,
CCC-OCC-02,Feast of the Moon,2-4,1-4,,,,
CCC-ODFC-0101,Hammer and Anvil,4,1-4,,,,
CCC-ODFC-0102,"Black Blades, Black Wings",4,5-10,,,,
CCC-ODFC-0103,Elder's Eyes Upon You,4,11-16,,,,
CCC-ODFC-0201,Serenade of Pain,4,1-4,,,,
CCC-ODFC-0202,Palace of the Efreeti,4,5-10,,,,
CCC-ODFC-0203,Night's Bright Dawning,4,11-16,,,,
CCC-ODFC-0301,A Momentary Lapse of Reason,2-4,1-4,,,,
CCC-OHAYOCON-01-03,Fiendly Competition,2-4,5-10,,,,
CCC-PDXAGE-0101,The White Well,2,1-4,,,,
CCC-PDXAGE-0201,The Dark Hunt,2,5-10,,,,
CCC-PHA-01,Six Summoned Swords,4,5-10,,,,
CCC-PPTDD01-01,Trouble Under Winton,2,1-4,,,,
CCC-PRETZ-PLA01,The Mystery at Coppertop Manor,2-4,1-4,,,,
CCC-PRETZ-PLA02,A Mine of Their Own,2-4,1-4,,,,
CCC-PRIORY-01,Maritime Mayhem,2,1-4,,,,
CCC-PRIORY-02,Prison Pitfalls,2,1-4,,,,
CCC-PRIORY-03,Truths in Time,2,1-4,,,,
CCC-QCC2017,"Delusions of Grandeur, Dreams of Revenge",4,11-16,,,,
CCC-QCC2018-01,Of Gods and Monsters,2,11-16,,,,
CCC-QCC2018-02,Heart and Soul,2,5-10,,,,
CCC-REAP-01,Red War: Lost Ashes of a Wayward Gnome,4,5-10,,,,
CCC-ROZK-0101,Binder's Torment,4,11-16,,,,
CCC-ROZK-0102,Zhentarim's Lament,4,11-16,,,,
CCC-ROZK-0103,Necormancer's Ascent,4,11-16,,,,
CCC-RPR-01,Eyes of Blood,4,1-4,,,,
CCC-RPSG-01,Ooze There,4,1-4,,,,
CCC-SAC-01,A Light in the Dark,4,11-16,,,,
CCC-SAC-02,Fun with Fey,4,11-16,,,,
CCC-SAC-03,"They're Good Adventurers, Brent",2,1-4,,,,
CCC-SALT-01-01,Rumor of Riches,2,1-4,,,,
CCC-SALT-01-02,Moor Trouble,2,1-4,,,,
CCC-SALT-01-03,Broken Halls of Goldahroud,4,1-4,,,,
CCC-SALT-02-01,Mulmaster's Meddlings,4,1-4,,,,
CCC-SALT-02-02,Tower in the Valley,4,5-10,,,,
CCC-SALT-0205,The Darkness Never Forgets,4,5-10,,,,
CCC-SCAR01-01,Corrupted Artery,2,1-4,,,,
CCC-SCAR01-02,Glister by Light,4,1-4,,,,
CCC-SCAR02-01,Glister By Dark,4,1-4,,,,
CCC-SCAR02-02,Nature's Defense,4,1-4,,,,
CCC-SFBAY-0101,Plots in Motion,8,5-10,,,,
CCC-SFBAY-0201,Old Enemies Arise,4,5-10,,,,
CCC-SFBAY-0202,Rise of the Ogre King,4,5-10,,,,
CCC-SFBAY-0203,The Risen Minotaur Lord,4,5-10,,,,
CCC-SFBAY-0401,The Cornflower Hive,4,1-4,,,,
CCC-SFBAY-0402,Under Earth and Stone,2,5-10,,,,
CCC-SFBAY-0403,The Ashen Scar,2,1-4,,,,
CCC-SHINY-02,An Open Secret,2,1-4,,,,
CCC-SHINY-04,Elusion of Grand Yore,4,5-10,,,,
CCC-SKULL01-01,A Murder Most Foul,4,5-10,,,,
CCC-SKULL01-02,Not All Who Are Lost Should Be Found,4,5-10,,,,
CCC-SKULL01-03,Who Pulls the Strings,4,5-10,,,,
CCC-SQC-001,The Woodland Sage,4,5-10,,,,
CCC-SQC-0201,None the Wiser,4,5-10,,,,
CCC-SQC-0202,Last Gasp,4,5-10,,,,
CCC-SRCC-0101,Trouble in the Old City,2,1-4,,,,
CCC-SRCC-0102,Down the River of Snakes,2,1-4,,,,
CCC-SRCC-0103,Altar of the Smoldering Eye,2,1-4,,,,
CCC-STORM-01,The Barrows of Solina,4,5-10,,,,
CCC-STORM-02,Swamp of Sorrow: Bloodpurge Village,2-4,5-10,,,,
CCC-STS2-1,Red War - Embassy of Evil,4,5-10,,,,
CCC-SVH01-01,Dawn of the Raven Lord,4,11-16,,,,
CCC-SVH01-02,Raven Lord's Aerie,4,11-16,,,,
CCC-SVH01-03,Vault of the Raven Lord,4,11-16,,,,
CCC-TAROT-0101,Awakening of Fates,2,1-4,,,,
CCC-TAROT-0102,By the Light of the Moon,2,1-4,,,,
CCC-TAROT-0103,A Martyred Heart,2,1-4,,,,
CCC-TAROT-0104,Tangled Woods,2,1-4,,,,
CCC-TAROT-0105,The Lost Apprentice,2,1-4,,,,
CCC-TAROT-0106,Lies in the Moonlight,2,1-4,,,,
CCC-TAROT-0107,The Seat of the Ruler,4,1-4,,,,
CCC-TAROT-02-01,A Sunk Cost,4,5-10,,,,
CCC-THENT-0101,Beneath The Surface,2,1-4,,,,
CCC-THENT-0102,Those That Dwell Beneath,2,1-4,,,,
CCC-THENT-0103,The Dreaming Relic,4,1-4,,,,
CCC-TRI-01,Into the Darkness,4,11-16,,,,
CCC-TRI-02,Impression Left Behind,4,11-16,,,,
CCC-TRI-03,Fences and Swords,2,5-10,,,,
CCC-TRI-04,Birds of a Feather,2,5-10,,,,
CCC-TRI-05,Hunt of Malar,4,5-10,,,,
CCC-TRI-06,Haggard Heroes,4,5-10,,,,
CCC-TRI-07,Beneath the Moonsea,4,5-10,,,,
CCC-TRI-08,Dreadful Wail,4,5-10,,,,
CCC-TRI-09,Tinhammer Falls,4,1-4,,,,
CCC-TRI-10,Contact,4,11-16,,,,
CCC-TRI-11,Flooded Dreams,4,1-4,,,,
CCC-TRI-12,Ill Met in Ylraphon,4,1-4,,,,
CCC-TRI-13,What Lies beneath Ylraphon,4,1-4,,,,
CCC-TRI-14,The Voice in the Night,4,11-16,,,,
CCC-TRI-15,The Dark of the Hive,4,11-16,,,,
CCC-TRI-16,"Ph'theev, the Despondent",4,1-4,,,,
CCC-TRI-17,"Ph'teev, Unbound!",4,1-4,,,,
CCC-TRI-18,Pros & Cons,4,1-4,,,,
CCC-TRI-19,Dead Men's Tales,4,1-4,,,,
